date,open,high,low,close,volume
2021-02-24,24814.55078125,24872.349609375,24518.69921875,24779.400390625,19700
2021-02-25,24979.0,25199.80078125,24830.69921875,24872.44921875,34500
2021-02-26,24611.19921875,24689.0,24212.80078125,24301.44921875,0
2021-03-01,24494.650390625,24846.099609375,24451.44921875,24556.30078125,0
2021-03-02,24809.69921875,25435.400390625,24770.349609375,25301.849609375,0
2021-03-03,25582.599609375,25814.900390625,25331.400390625,25772.650390625,0
2021-03-04,25471.69921875,25981.349609375,25450.44921875,25631.849609375,0
2021-03-05,25504.69921875,25697.75,25113.44921875,25229.599609375,0
2021-03-08,25368.19921875,25549.30078125,25259.599609375,25347.94921875,0
2021-03-09,25388.80078125,25685.80078125,25095.349609375,25582.349609375,0
2021-03-10,25862.05078125,26136.55078125,25782.30078125,26010.099609375,0
2021-03-12,26060.44921875,26298.0,25819.900390625,25888.25,0
2021-03-15,25859.150390625,26094.150390625,25651.80078125,26032.05078125,0
2021-03-16,26132.44921875,26602.650390625,26111.099609375,26363.849609375,0
2021-03-17,26378.19921875,26657.099609375,26113.75,26183.5,0
2021-03-18,26365.900390625,26395.94921875,25012.5,25373.349609375,0
2021-03-19,25273.349609375,25687.400390625,25028.30078125,25562.75,0
2021-03-22,25649.05078125,26102.80078125,25418.44921875,26035.349609375,0
2021-03-23,26105.69921875,26315.80078125,25928.0,26105.69921875,0
2021-03-24,25863.55078125,26114.599609375,25738.150390625,25802.94921875,0
2021-03-25,25739.80078125,25766.0,25131.400390625,25237.099609375,0
2021-03-26,25475.30078125,25687.05078125,25276.599609375,25385.099609375,0
2021-03-30,25531.099609375,26306.650390625,25429.19921875,26121.099609375,44200
2021-03-31,26130.599609375,26130.599609375,25788.0,25855.0,0
2021-04-01,26039.849609375,26289.099609375,25855.349609375,25980.400390625,0
2021-04-05,26035.5,26630.80078125,25978.94921875,26491.400390625,0
2021-04-06,26715.19921875,26715.19921875,26403.44921875,26532.19921875,0
2021-04-07,26514.94921875,26899.19921875,26401.69921875,26831.0,0
2021-04-08,26899.5,27413.55078125,26845.849609375,27148.400390625,0
2021-04-09,27322.05078125,27520.099609375,27109.94921875,27367.05078125,0
2021-04-12,27504.400390625,27524.599609375,26545.650390625,26727.80078125,0
2021-04-13,26737.69921875,26759.19921875,25513.400390625,25851.30078125,0
2021-04-15,25577.0,26084.150390625,25293.30078125,26010.849609375,0
